time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
57.2466,0,0,0,8,8
61.1896,0,0,0,0,16
230.187,0,0,0,8,8
230.189,0,0,0,4,12
231.99,0,0,0,12,4
231.992,0,0,0,4,12
368.349,0,0,0,8,8
404.932,0,0,0,16,0
404.934,0,0,0,0,16
518.734,0,0,0,16,0
518.736,0,0,0,0,16
632.676,0,0,0,16,0
632.678,0,0,0,8,8
632.679,0,0,0,4,12
632.68,0,0,0,0,16
721.259,0,0,0,4,12
721.261,0,0,0,0,16
769.93,0,0,0,4,12
803.478,0,0,0,12,4
809.841,0,0,0,16,0
809.843,0,0,0,0,16
923.783,0,0,0,16,0
923.786,0,0,0,8,8
923.786,0,0,0,0,16
1094.59,0,0,0,8,8
1094.59,0,0,0,0,16
1096.73,0,0,0,8,8
1096.73,0,0,0,0,16
1267.53,0,0,0,8,8
1267.53,0,0,0,4,12
1267.53,0,0,0,0,16
1269.67,0,0,0,8,8
1269.67,0,0,0,0,16
1404.78,0,0,0,4,12
1405.69,0,0,0,8,8
1440.47,0,0,0,16,0
1440.47,0,0,0,0,16
1545.35,0,0,0,16,0
1545.35,0,0,0,0,16
1650.23,0,0,0,16,0
1650.24,0,0,0,8,8
1650.24,0,0,0,4,12
1650.24,0,0,0,0,16
1788.4,0,0,0,4,12
1788.4,0,0,0,8,8
1788.4,0,0,0,0,16
1823.18,0,0,0,8,8
1823.18,0,0,0,0,16
1959.2,0,0,0,8,8
1959.2,0,0,0,0,16
1996.12,0,0,0,8,8
1996.12,0,0,0,4,12
1996.12,0,0,0,0,16
2130,0,0,0,8,8
2133.37,0,0,0,12,4
2134.28,0,0,0,16,0
2134.28,0,0,0,0,16
2248.22,0,0,0,16,0
2248.23,0,0,0,0,16
2362.03,0,0,0,16,0
2362.03,0,0,0,0,16
2475.97,0,0,0,16,0
2475.97,0,0,0,8,8
2475.97,0,0,0,4,12
2475.97,0,0,0,0,16
2564.55,0,0,0,4,12
2564.55,0,0,0,0,16
2614.13,0,0,0,4,12
2648.91,0,0,0,12,4
2653.13,0,0,0,16,0
2653.14,0,0,0,0,16
2766.94,0,0,0,16,0
2766.94,0,0,0,8,8
2766.94,0,0,0,0,16
2937.74,0,0,0,8,8
2937.74,0,0,0,16,0
2937.74,0,0,0,8,8
2937.74,0,0,0,0,16
3110.68,0,0,0,8,8
3110.68,0,0,0,16,0
3110.69,0,0,0,0,16
3224.49,0,0,0,16,0
3224.49,0,0,0,8,8
3224.49,0,0,0,4,12
3224.49,0,0,0,0,16
3313.07,0,0,0,4,12
3313.07,0,0,0,0,16
3361.74,0,0,0,4,12
3395.29,0,0,0,12,4
3451.23,0,0,0,16,0
3451.23,0,0,0,0,16
3565.17,0,0,0,16,0
3565.18,0,0,0,0,16
3670.06,0,0,0,16,0
3670.06,0,0,0,8,8
3670.06,0,0,0,0,16
3840.86,0,0,0,8,8
3840.86,0,0,0,0,16
3843,0,0,0,8,8
3843,0,0,0,4,12
3843,0,0,0,0,16
3980.25,0,0,0,4,12
3981.16,0,0,0,8,8
4013.8,0,0,0,16,0
4013.8,0,0,0,0,16
4127.74,0,0,0,16,0
4127.74,0,0,0,12,4
4127.75,0,0,0,4,12
4127.75,0,0,0,0,16
4216.33,0,0,0,4,12
4216.33,0,0,0,0,16
4264.99,0,0,0,4,12
4300.69,0,0,0,12,4
4300.69,0,0,0,4,12
4300.69,0,0,0,0,16
4354.49,0,0,0,4,12
4437.94,0,0,0,8,8
4437.94,0,0,0,0,16
4471.49,0,0,0,8,8
4471.49,0,0,0,0,16
4608.74,0,0,0,8,8
4644.43,0,0,0,16,0
4644.43,0,0,0,0,16
4749.31,0,0,0,16,0
4749.31,0,0,0,12,4
4749.31,0,0,0,8,8
4749.32,0,0,0,4,12
4749.32,0,0,0,0,16
4837.89,0,0,0,4,12
4837.89,0,0,0,8,8
4887.48,0,0,0,12,4
4887.48,0,0,0,16,0
4887.48,0,0,0,0,16
5001.28,0,0,0,16,0
5001.28,0,0,0,8,8
5001.28,0,0,0,4,12
5001.28,0,0,0,0,16
5089.86,0,0,0,4,12
5089.86,0,0,0,0,16
5139.44,0,0,0,4,12
5172.08,0,0,0,12,4
5228.02,0,0,0,16,0
5228.03,0,0,0,0,16
5332.91,0,0,0,16,0
5332.91,0,0,0,8,8
5332.91,0,0,0,0,16
5505.85,0,0,0,8,8
5505.85,0,0,0,16,0
5505.85,0,0,0,8,8
5505.85,0,0,0,4,12
5505.85,0,0,0,0,16
5643.1,0,0,0,4,12
5644.01,0,0,0,8,8
5676.65,0,0,0,16,0
5676.66,0,0,0,0,16
5790.6,0,0,0,16,0
5790.6,0,0,0,8,8
5790.6,0,0,0,0,16
5963.54,0,0,0,8,8
5963.54,0,0,0,16,0
5963.54,0,0,0,8,8
5963.54,0,0,0,4,12
5963.54,0,0,0,0,16
6101.7,0,0,0,4,12
6101.7,0,0,0,8,8
6136.48,0,0,0,16,0
6136.48,0,0,0,0,16
6241.36,0,0,0,16,0
6241.37,0,0,0,8,8
6241.37,0,0,0,0,16
6412.17,0,0,0,8,8
6412.17,0,0,0,16,0
6412.17,0,0,0,0,16
6525.97,0,0,0,16,0
6525.97,0,0,0,8,8
6525.97,0,0,0,4,12
6525.97,0,0,0,0,16
6614.55,0,0,0,4,12
6614.55,0,0,0,8,8
6614.56,0,0,0,4,12
6614.56,0,0,0,0,16
6698.91,0,0,0,8,8
6703.14,0,0,0,12,4
6703.14,0,0,0,16,0
6703.14,0,0,0,0,16
6817.08,0,0,0,16,0
6817.08,0,0,0,0,16
6931.02,0,0,0,16,0
6931.02,0,0,0,0,16
7044.96,0,0,0,16,0
7044.97,0,0,0,8,8
