time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
57.2466,0,0,0,8,8
61.1896,0,0,0,0,16
230.187,0,0,0,8,8
230.189,0,0,0,4,12
231.99,0,0,0,12,4
231.992,0,0,0,4,12
368.349,0,0,0,8,8
404.932,0,0,0,16,0
404.934,0,0,0,0,16
518.734,0,0,0,16,0
518.736,0,0,0,0,16
632.676,0,0,0,16,0
632.678,0,0,0,8,8
803.478,0,0,0,16,0
803.481,0,0,0,0,16
917.421,0,0,0,16,0
917.423,0,0,0,12,4
917.424,0,0,0,4,12
917.425,0,0,0,0,16
1006,0,0,0,4,12
1006.01,0,0,0,0,16
1054.67,0,0,0,4,12
1090.36,0,0,0,12,4
1090.37,0,0,0,4,12
1094.59,0,0,0,8,8
1261.17,0,0,0,16,0
1261.17,0,0,0,8,8
1261.17,0,0,0,0,16
1434.11,0,0,0,8,8
1434.11,0,0,0,16,0
1434.11,0,0,0,12,4
1434.11,0,0,0,4,12
1572.27,0,0,0,8,8
1604.91,0,0,0,16,0
1604.92,0,0,0,0,16
1709.8,0,0,0,16,0
1709.8,0,0,0,0,16
1814.68,0,0,0,16,0
1814.68,0,0,0,12,4
1814.68,0,0,0,4,12
1814.68,0,0,0,0,16
1951.93,0,0,0,4,12
1952.84,0,0,0,8,8
1987.62,0,0,0,16,0
1987.62,0,0,0,8,8
1987.62,0,0,0,0,16
2158.42,0,0,0,8,8
2158.42,0,0,0,0,16
2160.56,0,0,0,8,8
2329.22,0,0,0,16,0
2329.23,0,0,0,0,16
2443.17,0,0,0,16,0
2443.17,0,0,0,12,4
2443.17,0,0,0,8,8
2443.17,0,0,0,4,12
2580.42,0,0,0,8,8
2581.33,0,0,0,12,4
2581.33,0,0,0,16,0
2581.33,0,0,0,0,16
2695.13,0,0,0,16,0
2695.14,0,0,0,0,16
2809.08,0,0,0,16,0
2809.08,0,0,0,8,8
2809.08,0,0,0,4,12
2947.24,0,0,0,8,8
2982.02,0,0,0,16,0
2982.02,0,0,0,0,16
3095.82,0,0,0,16,0
3095.82,0,0,0,8,8
3095.82,0,0,0,0,16
3266.62,0,0,0,8,8
3266.62,0,0,0,16,0
3266.63,0,0,0,12,4
3266.63,0,0,0,4,12
3355.21,0,0,0,8,8
3439.57,0,0,0,16,0
3439.57,0,0,0,8,8
3612.51,0,0,0,16,0
3612.51,0,0,0,0,16
3726.31,0,0,0,16,0
3726.31,0,0,0,12,4
3726.31,0,0,0,4,12
3814.89,0,0,0,8,8
3897.11,0,0,0,16,0
3897.12,0,0,0,0,16
4011.06,0,0,0,16,0
4011.06,0,0,0,12,4
4099.64,0,0,0,16,0
4099.64,0,0,0,0,16
4204.52,0,0,0,16,0
4204.52,0,0,0,12,4
4204.52,0,0,0,4,12
4204.52,0,0,0,0,16
4341.77,0,0,0,4,12
4342.68,0,0,0,8,8
4377.46,0,0,0,16,0
4377.47,0,0,0,8,8
4377.47,0,0,0,0,16
4548.27,0,0,0,8,8
4548.27,0,0,0,4,12
4550.41,0,0,0,12,4
4686.43,0,0,0,16,0
4686.43,0,0,0,0,16
4800.37,0,0,0,16,0
4800.37,0,0,0,12,4
4800.37,0,0,0,8,8
4800.37,0,0,0,0,16
4937.62,0,0,0,4,12
4937.62,0,0,0,8,8
4937.63,0,0,0,4,12
4973.31,0,0,0,12,4
4973.32,0,0,0,4,12
4973.32,0,0,0,0,16
5026.21,0,0,0,4,12
5026.21,0,0,0,0,16
5111.48,0,0,0,4,12
5144.12,0,0,0,12,4
5144.12,0,0,0,4,12
5163.46,0,0,0,8,8
5314.92,0,0,0,16,0
5314.92,0,0,0,8,8
5487.86,0,0,0,16,0
5487.86,0,0,0,0,16
5592.74,0,0,0,16,0
5592.74,0,0,0,12,4
5681.32,0,0,0,16,0
5681.33,0,0,0,0,16
5795.13,0,0,0,16,0
5795.13,0,0,0,12,4
5795.13,0,0,0,4,12
5883.71,0,0,0,8,8
5965.93,0,0,0,16,0
5965.93,0,0,0,0,16
6070.81,0,0,0,16,0
6070.81,0,0,0,8,8
6070.82,0,0,0,0,16
6243.75,0,0,0,8,8
6243.76,0,0,0,16,0
6243.76,0,0,0,8,8
6414.56,0,0,0,16,0
6414.56,0,0,0,0,16
6528.5,0,0,0,16,0
6528.5,0,0,0,12,4
6528.5,0,0,0,4,12
6666.66,0,0,0,8,8
6701.44,0,0,0,16,0
6701.45,0,0,0,8,8
6701.45,0,0,0,0,16
6874.39,0,0,0,8,8
6874.39,0,0,0,16,0
6874.39,0,0,0,0,16
6979.27,0,0,0,16,0
6979.27,0,0,0,8,8
6979.27,0,0,0,0,16
7150.07,0,0,0,8,8
7150.07,0,0,0,16,0
7150.08,0,0,0,0,16
7263.88,0,0,0,16,0
7263.88,0,0,0,8,8
7436.82,0,0,0,16,0
7436.82,0,0,0,0,16
7550.76,0,0,0,16,0
7550.76,0,0,0,12,4
7550.76,0,0,0,8,8
7688.92,0,0,0,12,4
7688.92,0,0,0,16,0
7688.93,0,0,0,0,16
7802.87,0,0,0,16,0
7802.87,0,0,0,0,16
7916.81,0,0,0,16,0
7916.81,0,0,0,8,8
7916.81,0,0,0,0,16
8087.61,0,0,0,8,8
8087.61,0,0,0,16,0
8087.61,0,0,0,12,4
8087.61,0,0,0,8,8
8087.62,0,0,0,4,12
8087.62,0,0,0,0,16
8176.19,0,0,0,4,12
8176.2,0,0,0,0,16
8224.87,0,0,0,4,12
8225.77,0,0,0,8,8
8225.78,0,0,0,12,4
8225.78,0,0,0,4,12
8225.78,0,0,0,0,16
8314.36,0,0,0,4,12
8363.94,0,0,0,8,8
8396.58,0,0,0,16,0
8396.58,0,0,0,0,16
8501.46,0,0,0,16,0
