job_id,workload_name,profile,submission_time,requested_number_of_resources,requested_time,success,final_state,starting_time,execution_time,finish_time,waiting_time,turnaround_time,stretch,allocated_resources,consumed_energy,metadata
0,w0,ft.D.8,57.245384,8,300.000000,1,COMPLETED_SUCCESSFULLY,57.246584,172.940000,230.186584,0.001200,172.941200,1.000007,0-7,-1.000000,""
1,w0,ft.C.8,61.187824,8,300.000000,1,COMPLETED_SUCCESSFULLY,61.189624,170.800000,231.989624,0.001800,170.801800,1.000011,8-15,-1.000000,""
2,w0,ft.C.4,108.794942,4,200.000000,1,COMPLETED_SUCCESSFULLY,230.188784,138.160000,368.348784,121.393842,259.553842,1.878647,0-3,-1.000000,""
3,w0,ft.D.8,110.037647,8,300.000000,1,COMPLETED_SUCCESSFULLY,231.991824,172.940000,404.931824,121.954177,294.894177,1.705182,8-15,-1.000000,""
9,w0,is.D.32,459.633851,32,200.000000,0,REJECTED,,,,,,,,,""
4,w0,ft.C.16,249.040857,16,200.000000,1,COMPLETED_SUCCESSFULLY,404.934024,113.800000,518.734024,155.893168,269.693168,2.369887,0-15,-1.000000,""
5,w0,ft.D.16,361.025784,16,200.000000,1,COMPLETED_SUCCESSFULLY,518.736224,113.940000,632.676224,157.710440,271.650440,2.384153,0-15,-1.000000,""
8,w0,lu.B.4,451.212430,4,200.000000,1,COMPLETED_SUCCESSFULLY,632.679024,88.580000,721.259024,181.466595,270.046595,3.048618,8-11,-1.000000,""
11,w0,ft.D.4,516.599412,4,200.000000,1,COMPLETED_SUCCESSFULLY,632.679624,137.250000,769.929624,116.080213,253.330213,1.845757,12-15,-1.000000,""
6,w0,ft.C.8,418.268707,8,300.000000,1,COMPLETED_SUCCESSFULLY,632.678424,170.800000,803.478424,214.409717,385.209717,2.255326,0-7,-1.000000,""
12,w0,lu.B.4,576.414800,4,200.000000,1,COMPLETED_SUCCESSFULLY,721.261224,88.580000,809.841224,144.846424,233.426424,2.635205,8-11,-1.000000,""
20,w0,ft.E.32,853.950088,32,2400.000000,0,REJECTED,,,,,,,,,""
7,w0,ft.D.16,423.422515,16,200.000000,1,COMPLETED_SUCCESSFULLY,809.843424,113.940000,923.783424,386.420909,500.360909,4.391442,0-15,-1.000000,""
