time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
57.2466,0,0,0,8,8
61.1896,0,0,0,0,16
230.187,0,0,0,8,8
230.189,0,0,0,4,12
231.99,0,0,0,12,4
231.992,0,0,0,4,12
368.349,0,0,0,8,8
404.932,0,0,0,16,0
404.934,0,0,0,0,16
518.734,0,0,0,16,0
518.736,0,0,0,0,16
632.676,0,0,0,16,0
632.678,0,0,0,8,8
632.679,0,0,0,4,12
632.68,0,0,0,0,16
721.259,0,0,0,4,12
721.261,0,0,0,0,16
769.93,0,0,0,4,12
803.478,0,0,0,12,4
809.841,0,0,0,16,0
809.843,0,0,0,0,16
923.783,0,0,0,16,0
923.786,0,0,0,8,8
923.786,0,0,0,0,16
1094.59,0,0,0,8,8
1094.59,0,0,0,0,16
1096.73,0,0,0,8,8
1096.73,0,0,0,0,16
1267.53,0,0,0,8,8
1267.53,0,0,0,4,12
1267.53,0,0,0,0,16
1269.67,0,0,0,8,8
1269.67,0,0,0,0,16
1404.78,0,0,0,4,12
1405.69,0,0,0,8,8
1440.47,0,0,0,16,0
1440.47,0,0,0,0,16
1545.35,0,0,0,16,0
1545.35,0,0,0,0,16
1650.23,0,0,0,16,0
1650.24,0,0,0,8,8
1650.24,0,0,0,4,12
1650.24,0,0,0,0,16
1788.4,0,0,0,4,12
1788.4,0,0,0,8,8
1788.4,0,0,0,0,16
1823.18,0,0,0,8,8
1823.18,0,0,0,0,16
1959.2,0,0,0,8,8
1959.2,0,0,0,0,16
1996.12,0,0,0,8,8
1996.12,0,0,0,4,12
1996.12,0,0,0,0,16
2130,0,0,0,8,8
2133.37,0,0,0,12,4
2134.28,0,0,0,16,0
2134.28,0,0,0,0,16
2248.22,0,0,0,16,0
2248.23,0,0,0,0,16
2362.03,0,0,0,16,0
2362.03,0,0,0,0,16
2475.97,0,0,0,16,0
2475.97,0,0,0,8,8
2475.97,0,0,0,4,12
2475.97,0,0,0,0,16
2564.55,0,0,0,4,12
2564.55,0,0,0,0,16
2614.13,0,0,0,4,12
2614.13,0,0,0,0,16
2648.91,0,0,0,8,8
2653.13,0,0,0,12,4
2702.71,0,0,0,16,0
2702.72,0,0,0,0,16
2816.52,0,0,0,16,0
2816.52,0,0,0,8,8
2816.52,0,0,0,0,16
2987.32,0,0,0,8,8
2987.32,0,0,0,16,0
2987.32,0,0,0,8,8
2987.32,0,0,0,0,16
3160.26,0,0,0,8,8
3160.26,0,0,0,16,0
3160.27,0,0,0,0,16
3274.07,0,0,0,16,0
3274.07,0,0,0,8,8
3274.07,0,0,0,4,12
3274.07,0,0,0,0,16
3411.32,0,0,0,4,12
3411.32,0,0,0,0,16
3412.23,0,0,0,4,12
3444.87,0,0,0,12,4
3549.48,0,0,0,16,0
3549.48,0,0,0,0,16
3663.42,0,0,0,16,0
3663.42,0,0,0,0,16
3768.3,0,0,0,16,0
3768.31,0,0,0,8,8
3768.31,0,0,0,0,16
3939.11,0,0,0,8,8
3939.11,0,0,0,0,16
3941.25,0,0,0,8,8
3941.25,0,0,0,4,12
3941.25,0,0,0,0,16
4078.5,0,0,0,4,12
4078.5,0,0,0,8,8
4112.05,0,0,0,16,0
4112.05,0,0,0,0,16
4225.99,0,0,0,16,0
4225.99,0,0,0,8,8
4225.99,0,0,0,4,12
4226,0,0,0,0,16
4314.57,0,0,0,4,12
4364.16,0,0,0,8,8
4364.16,0,0,0,0,16
4398.93,0,0,0,8,8
4398.94,0,0,0,4,12
4398.94,0,0,0,0,16
4487.52,0,0,0,4,12
4534.96,0,0,0,12,4
4534.96,0,0,0,4,12
4536.19,0,0,0,8,8
4536.19,0,0,0,0,16
4705.76,0,0,0,8,8
4709.13,0,0,0,16,0
4709.13,0,0,0,0,16
4814.01,0,0,0,16,0
4814.01,0,0,0,0,16
4927.81,0,0,0,16,0
4927.82,0,0,0,12,4
4927.82,0,0,0,4,12
4927.82,0,0,0,0,16
5016.4,0,0,0,4,12
5016.4,0,0,0,0,16
5065.98,0,0,0,4,12
5098.62,0,0,0,12,4
5154.56,0,0,0,16,0
5154.56,0,0,0,0,16
5259.44,0,0,0,16,0
5259.44,0,0,0,8,8
5259.44,0,0,0,0,16
5432.38,0,0,0,8,8
5432.38,0,0,0,16,0
5432.39,0,0,0,8,8
5432.39,0,0,0,0,16
5603.19,0,0,0,8,8
5605.33,0,0,0,16,0
5605.33,0,0,0,0,16
5719.27,0,0,0,16,0
5719.27,0,0,0,8,8
5719.27,0,0,0,0,16
5892.21,0,0,0,8,8
5892.21,0,0,0,16,0
5892.21,0,0,0,0,16
5997.09,0,0,0,16,0
5997.1,0,0,0,8,8
5997.1,0,0,0,0,16
6167.9,0,0,0,8,8
6167.9,0,0,0,16,0
6167.9,0,0,0,0,16
6281.7,0,0,0,16,0
6281.7,0,0,0,8,8
6281.7,0,0,0,4,12
6281.7,0,0,0,0,16
6370.28,0,0,0,4,12
6370.29,0,0,0,0,16
6419.86,0,0,0,4,12
6419.87,0,0,0,0,16
6454.64,0,0,0,8,8
6508.45,0,0,0,12,4
6558.03,0,0,0,16,0
6558.03,0,0,0,0,16
6671.97,0,0,0,16,0
6671.97,0,0,0,0,16
6785.91,0,0,0,16,0
6785.91,0,0,0,0,16
6899.85,0,0,0,16,0
6899.85,0,0,0,8,8
6899.85,0,0,0,0,16
7070.65,0,0,0,8,8
7070.65,0,0,0,16,0
7070.66,0,0,0,12,4
7070.66,0,0,0,8,8
7070.66,0,0,0,0,16
7207.91,0,0,0,4,12
7207.91,0,0,0,0,16
7208.82,0,0,0,4,12
7208.82,0,0,0,0,16
7241.46,0,0,0,8,8
7297.4,0,0,0,12,4
7346.07,0,0,0,16,0
