job_id,workload_name,profile,submission_time,requested_number_of_resources,requested_time,success,final_state,starting_time,execution_time,finish_time,waiting_time,turnaround_time,stretch,allocated_resources,consumed_energy,metadata
0,w0,ft.D.8,57.245384,8,300.000000,1,COMPLETED_SUCCESSFULLY,57.246584,172.940000,230.186584,0.001200,172.941200,1.000007,0-7,-1.000000,""
1,w0,ft.C.8,61.187824,8,300.000000,1,COMPLETED_SUCCESSFULLY,61.189624,170.800000,231.989624,0.001800,170.801800,1.000011,8-15,-1.000000,""
2,w0,ft.C.4,108.794942,4,200.000000,1,COMPLETED_SUCCESSFULLY,230.188784,138.160000,368.348784,121.393842,259.553842,1.878647,0-3,-1.000000,""
3,w0,ft.D.8,110.037647,8,300.000000,1,COMPLETED_SUCCESSFULLY,231.991824,172.940000,404.931824,121.954177,294.894177,1.705182,4-11,-1.000000,""
4,w0,ft.C.16,249.040857,16,200.000000,1,COMPLETED_SUCCESSFULLY,404.934024,113.800000,518.734024,155.893168,269.693168,2.369887,0-15,-1.000000,""
5,w0,ft.D.16,361.025784,16,200.000000,1,COMPLETED_SUCCESSFULLY,518.736224,113.940000,632.676224,157.710440,271.650440,2.384153,0-15,-1.000000,""
6,w0,ft.C.8,418.268707,8,300.000000,1,COMPLETED_SUCCESSFULLY,632.678424,170.800000,803.478424,214.409717,385.209717,2.255326,0-7,-1.000000,""
7,w0,ft.D.16,423.422515,16,200.000000,1,COMPLETED_SUCCESSFULLY,803.480624,113.940000,917.420624,380.058109,493.998109,4.335599,0-15,-1.000000,""
9,w0,is.D.32,459.633851,32,200.000000,0,REJECTED,,,,,,,,,""
8,w0,lu.B.4,451.212430,4,200.000000,1,COMPLETED_SUCCESSFULLY,917.422824,88.580000,1006.002824,466.210395,554.790395,6.263156,0-3,-1.000000,""
11,w0,ft.D.4,516.599412,4,200.000000,1,COMPLETED_SUCCESSFULLY,917.424624,137.250000,1054.674624,400.825213,538.075213,3.920402,12-15,-1.000000,""
10,w0,ft.D.8,495.200553,8,300.000000,1,COMPLETED_SUCCESSFULLY,917.424024,172.940000,1090.364024,422.223471,595.163471,3.441445,4-11,-1.000000,""
12,w0,lu.B.4,576.414800,4,200.000000,1,COMPLETED_SUCCESSFULLY,1006.005024,88.580000,1094.585024,429.590224,518.170224,5.849743,0-3,-1.000000,""
