job_id,workload_name,profile,submission_time,requested_number_of_resources,requested_time,success,final_state,starting_time,execution_time,finish_time,waiting_time,turnaround_time,stretch,allocated_resources,consumed_energy,metadata
0,w0,ft.D.8,57.245384,8,300.000000,1,COMPLETED_SUCCESSFULLY,57.251584,172.940000,230.191584,0.006200,172.946200,1.000036,0-7,-1.000000,""
1,w0,ft.C.8,61.187824,8,300.000000,1,COMPLETED_SUCCESSFULLY,61.194624,170.800000,231.994624,0.006800,170.806800,1.000040,8-15,-1.000000,""
2,w0,ft.C.4,108.794942,4,200.000000,1,COMPLETED_SUCCESSFULLY,232.001824,138.160000,370.161824,123.206882,261.366882,1.891770,8-11,-1.000000,""
3,w0,ft.D.8,110.037647,8,300.000000,1,COMPLETED_SUCCESSFULLY,230.198784,172.940000,403.138784,120.161137,293.101137,1.694814,0-7,-1.000000,""
9,w0,is.D.32,459.633851,32,200.000000,0,REJECTED,,,,,,,,,""
5,w0,ft.D.16,361.025784,16,200.000000,1,COMPLETED_SUCCESSFULLY,403.145984,113.940000,517.085984,42.120200,156.060200,1.369670,0-15,-1.000000,""
8,w0,lu.B.4,451.212430,4,200.000000,1,COMPLETED_SUCCESSFULLY,517.094384,88.580000,605.674384,65.881954,154.461954,1.743757,12-15,-1.000000,""
11,w0,ft.D.4,516.599412,4,200.000000,1,COMPLETED_SUCCESSFULLY,517.093184,137.250000,654.343184,0.493772,137.743772,1.003598,0-3,-1.000000,""
6,w0,ft.C.8,418.268707,8,300.000000,1,COMPLETED_SUCCESSFULLY,517.093784,170.800000,687.893784,98.825077,269.625077,1.578601,4-11,-1.000000,""
12,w0,lu.B.4,576.414800,4,200.000000,1,COMPLETED_SUCCESSFULLY,605.681584,88.580000,694.261584,29.266784,117.846784,1.330399,12-15,-1.000000,""
20,w0,ft.E.32,853.950088,32,2400.000000,0,REJECTED,,,,,,,,,""
13,w0,ft.C.8,636.697746,8,300.000000,1,COMPLETED_SUCCESSFULLY,687.900984,170.800000,858.700984,51.203238,222.003238,1.299785,0-7,-1.000000,""
10,w0,ft.D.8,495.200553,8,300.000000,1,COMPLETED_SUCCESSFULLY,694.268784,172.940000,867.208784,199.068231,372.008231,2.151083,8-15,-1.000000,""
16,w0,ft.C.4,790.030254,4,200.000000,1,COMPLETED_SUCCESSFULLY,867.215984,138.160000,1005.375984,77.185730,215.345730,1.558669,8-11,-1.000000,""
15,w0,ft.D.8,731.152130,8,300.000000,1,COMPLETED_SUCCESSFULLY,858.708184,172.940000,1031.648184,127.556054,300.496054,1.737574,0-7,-1.000000,""
21,w0,ft.D.4,921.091214,4,200.000000,1,COMPLETED_SUCCESSFULLY,921.098014,137.250000,1058.348014,0.006800,137.256800,1.000050,12-15,-1.000000,""
23,w0,ft.C.4,1009.668137,4,200.000000,1,COMPLETED_SUCCESSFULLY,1009.674937,138.160000,1147.834937,0.006800,138.166800,1.000049,8-11,-1.000000,""
