time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
57.2516,0,0,0,8,8
61.1946,0,0,0,0,16
230.192,0,0,0,8,8
230.199,0,0,0,0,16
231.995,0,0,0,8,8
232.002,0,0,0,4,12
370.162,0,0,0,8,8
403.139,0,0,0,16,0
403.146,0,0,0,0,16
517.086,0,0,0,16,0
517.093,0,0,0,12,4
517.094,0,0,0,4,12
517.094,0,0,0,0,16
605.674,0,0,0,4,12
605.682,0,0,0,0,16
654.343,0,0,0,4,12
687.894,0,0,0,12,4
687.901,0,0,0,4,12
694.262,0,0,0,8,8
694.269,0,0,0,0,16
858.701,0,0,0,8,8
858.708,0,0,0,0,16
867.209,0,0,0,8,8
867.216,0,0,0,4,12
921.098,0,0,0,0,16
1005.38,0,0,0,4,12
1009.67,0,0,0,0,16
1031.65,0,0,0,8,8
1031.66,0,0,0,0,16
1058.35,0,0,0,4,12
1084.99,0,0,0,0,16
1147.83,0,0,0,4,12
1147.84,0,0,0,0,16
1204.6,0,0,0,8,8
1204.6,0,0,0,0,16
1223.15,0,0,0,4,12
1275.1,0,0,0,0,16
1285.09,0,0,0,4,12
1375.4,0,0,0,12,4
1375.41,0,0,0,4,12
1413.26,0,0,0,8,8
1413.26,0,0,0,0,16
1546.21,0,0,0,8,8
1546.22,0,0,0,0,16
1586.2,0,0,0,8,8
1586.21,0,0,0,0,16
1719.16,0,0,0,8,8
1719.16,0,0,0,4,12
1759.15,0,0,0,12,4
1759.16,0,0,0,4,12
1857.32,0,0,0,8,8
1857.33,0,0,0,0,16
1929.96,0,0,0,8,8
1929.97,0,0,0,4,12
2018.55,0,0,0,8,8
2018.55,0,0,0,0,16
2028.13,0,0,0,8,8
2028.14,0,0,0,0,16
2191.49,0,0,0,8,8
2191.5,0,0,0,0,16
2201.08,0,0,0,8,8
2201.09,0,0,0,4,12
2201.09,0,0,0,0,16
2289.67,0,0,0,4,12
2289.67,0,0,0,8,8
2289.67,0,0,0,4,12
2289.68,0,0,0,0,16
2362.3,0,0,0,8,8
2362.31,0,0,0,0,16
2426.92,0,0,0,4,12
2426.93,0,0,0,0,16
2427.84,0,0,0,4,12
2440.33,0,0,0,0,16
2533.11,0,0,0,8,8
2533.11,0,0,0,0,16
2565.09,0,0,0,4,12
2565.1,0,0,0,0,16
2577.58,0,0,0,4,12
2681.08,0,0,0,0,16
2702.35,0,0,0,4,12
2706.05,0,0,0,12,4
2706.06,0,0,0,4,12
2769.66,0,0,0,8,8
2769.66,0,0,0,0,16
2879,0,0,0,8,8
