job_id,workload_name,profile,submission_time,requested_number_of_resources,requested_time,success,final_state,starting_time,execution_time,finish_time,waiting_time,turnaround_time,stretch,allocated_resources,consumed_energy,metadata
0,w0,ft.D.8,57.245384,8,300.000000,1,COMPLETED_SUCCESSFULLY,57.246584,172.940000,230.186584,0.001200,172.941200,1.000007,0-7,-1.000000,""
1,w0,ft.C.8,61.187824,8,300.000000,1,COMPLETED_SUCCESSFULLY,61.189624,170.800000,231.989624,0.001800,170.801800,1.000011,8-15,-1.000000,""
2,w0,ft.C.4,108.794942,4,200.000000,1,COMPLETED_SUCCESSFULLY,108.796742,138.160000,246.956742,0.001800,138.161800,1.000013,16-19,-1.000000,""
3,w0,ft.D.8,110.037647,8,300.000000,1,COMPLETED_SUCCESSFULLY,110.039447,172.940000,282.979447,0.001800,172.941800,1.000010,20-27,-1.000000,""
4,w0,ft.C.16,249.040857,16,200.000000,1,COMPLETED_SUCCESSFULLY,249.042657,113.800000,362.842657,0.001800,113.801800,1.000016,0-15,-1.000000,""
5,w0,ft.D.16,361.025784,16,200.000000,1,COMPLETED_SUCCESSFULLY,361.027584,113.940000,474.967584,0.001800,113.941800,1.000016,16-31,-1.000000,""
7,w0,ft.D.16,423.422515,16,200.000000,1,COMPLETED_SUCCESSFULLY,423.424315,113.940000,537.364315,0.001800,113.941800,1.000016,32-47,-1.000000,""
8,w0,lu.B.4,451.212430,4,200.000000,1,COMPLETED_SUCCESSFULLY,451.214230,88.580000,539.794230,0.001800,88.581800,1.000020,8-11,-1.000000,""
6,w0,ft.C.8,418.268707,8,300.000000,1,COMPLETED_SUCCESSFULLY,418.270507,170.800000,589.070507,0.001800,170.801800,1.000011,0-7,-1.000000,""
11,w0,ft.D.4,516.599412,4,200.000000,1,COMPLETED_SUCCESSFULLY,516.601212,137.250000,653.851212,0.001800,137.251800,1.000013,56-59,-1.000000,""
12,w0,lu.B.4,576.414800,4,200.000000,1,COMPLETED_SUCCESSFULLY,576.416600,88.580000,664.996600,0.001800,88.581800,1.000020,8-11,-1.000000,""
10,w0,ft.D.8,495.200553,8,300.000000,1,COMPLETED_SUCCESSFULLY,495.202353,172.940000,668.142353,0.001800,172.941800,1.000010,48-55,-1.000000,""
