time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
57.2466,0,0,0,56,8
61.1896,0,0,0,48,16
108.797,0,0,0,44,20
110.039,0,0,0,36,28
230.187,0,0,0,44,20
231.99,0,0,0,52,12
246.957,0,0,0,56,8
249.043,0,0,0,40,24
282.979,0,0,0,48,16
361.028,0,0,0,32,32
362.843,0,0,0,48,16
418.271,0,0,0,40,24
423.424,0,0,0,24,40
451.214,0,0,0,20,44
474.968,0,0,0,36,28
495.202,0,0,0,28,36
516.601,0,0,0,24,40
537.364,0,0,0,40,24
537.367,0,0,0,8,56
539.794,0,0,0,12,52
576.417,0,0,0,8,56
589.071,0,0,0,16,48
636.7,0,0,0,8,56
653.851,0,0,0,12,52
664.997,0,0,0,16,48
668.142,0,0,0,24,40
672.467,0,0,0,56,8
689.485,0,0,0,48,16
731.154,0,0,0,40,24
790.032,0,0,0,36,28
807.5,0,0,0,44,20
810.763,0,0,0,36,28
810.992,0,0,0,20,44
820.193,0,0,0,4,60
862.425,0,0,0,12,52
904.094,0,0,0,20,44
915.872,0,0,0,36,28
921.093,0,0,0,32,32
925.073,0,0,0,48,16
928.192,0,0,0,52,12
928.194,0,0,0,20,44
945.603,0,0,0,12,52
981.563,0,0,0,20,44
1009.67,0,0,0,16,48
1033.8,0,0,0,8,56
1058.34,0,0,0,12,52
1084.99,0,0,0,8,56
1089.59,0,0,0,4,60
1118.54,0,0,0,12,52
1118.55,0,0,0,4,60
1147.83,0,0,0,8,56
1147.83,0,0,0,0,64
1204.6,0,0,0,8,56
1223.15,0,0,0,12,52
1226.84,0,0,0,16,48
1275.09,0,0,0,12,52
1291.49,0,0,0,20,44
1291.49,0,0,0,4,60
1318.63,0,0,0,12,52
1405.43,0,0,0,28,36
1413.25,0,0,0,32,32
1425.94,0,0,0,16,48
1479.18,0,0,0,8,56
1539.74,0,0,0,24,40
1539.74,0,0,0,8,56
1616.74,0,0,0,4,60
1652.12,0,0,0,12,52
1653.68,0,0,0,28,36
1653.69,0,0,0,12,52
1664.5,0,0,0,4,60
1754.9,0,0,0,8,56
1767.49,0,0,0,24,40
1814.51,0,0,0,16,48
1835.3,0,0,0,24,40
1905.27,0,0,0,20,44
1919.31,0,0,0,12,52
1985.31,0,0,0,20,44
1993.85,0,0,0,24,40
2011.28,0,0,0,16,48
2040.54,0,0,0,12,52
2092.25,0,0,0,20,44
2092.25,0,0,0,4,60
2129.12,0,0,0,8,56
2179.54,0,0,0,4,60
2184.22,0,0,0,12,52
2184.23,0,0,0,4,60
2206.05,0,0,0,20,44
2206.05,0,0,0,4,60
2214.78,0,0,0,0,64
2268.12,0,0,0,4,60
2268.12,0,0,0,0,64
2319.99,0,0,0,16,48
2320,0,0,0,0,64
2352.03,0,0,0,4,60
2355.03,0,0,0,12,52
2355.03,0,0,0,4,60
2368.68,0,0,0,36,28
2368.69,0,0,0,4,60
2388.97,0,0,0,0,64
2406.28,0,0,0,4,60
2424.88,0,0,0,20,44
2424.88,0,0,0,12,52
2424.88,0,0,0,4,60
2440.32,0,0,0,0,64
2527.13,0,0,0,4,60
2527.13,0,0,0,0,64
2527.97,0,0,0,8,56
2577.57,0,0,0,12,52
2595.68,0,0,0,20,44
2597.82,0,0,0,28,36
2597.82,0,0,0,12,52
2600.19,0,0,0,4,60
2664.38,0,0,0,8,56
2681.07,0,0,0,4,60
2711.76,0,0,0,20,44
2712.27,0,0,0,12,52
2769.65,0,0,0,16,48
2773.13,0,0,0,24,40
2780.86,0,0,0,20,44
2782.54,0,0,0,16,48
2810.06,0,0,0,8,56
2837.25,0,0,0,0,64
2883.07,0,0,0,8,56
2905.02,0,0,0,4,60
2919.02,0,0,0,8,56
2919.79,0,0,0,12,52
2980.86,0,0,0,20,44
2993.6,0,0,0,24,40
2993.6,0,0,0,8,56
3010.19,0,0,0,16,48
3098.48,0,0,0,32,32
3098.48,0,0,0,16,48
3109.28,0,0,0,12,52
3135.13,0,0,0,4,60
3197.86,0,0,0,8,56
3197.86,0,0,0,0,64
3212.28,0,0,0,16,48
3212.29,0,0,0,0,64
3305.93,0,0,0,8,56
3315.52,0,0,0,0,64
3317.17,0,0,0,16,48
3327.51,0,0,0,8,56
3365.16,0,0,0,4,60
3370.8,0,0,0,12,52
3471.6,0,0,0,4,60
3488.46,0,0,0,12,52
3498.31,0,0,0,20,44
3498.93,0,0,0,12,52
3503.32,0,0,0,16,48
3503.33,0,0,0,0,64
3617.27,0,0,0,16,48
3617.27,0,0,0,0,64
3644.54,0,0,0,8,56
3644.54,0,0,0,0,64
3671.87,0,0,0,8,56
3671.87,0,0,0,0,64
3722.15,0,0,0,16,48
3722.15,0,0,0,0,64
3814.72,0,0,0,32,32
3814.72,0,0,0,0,64
3817.48,0,0,0,8,56
3817.48,0,0,0,4,60
3817.48,0,0,0,0,64
3835.95,0,0,0,16,48
3835.95,0,0,0,0,64
3842.67,0,0,0,8,56
3842.67,0,0,0,0,64
3949.89,0,0,0,16,48
3949.89,0,0,0,0,64
3955.64,0,0,0,4,60
3955.64,0,0,0,8,56
3955.64,0,0,0,0,64
4013.47,0,0,0,8,56
4013.48,0,0,0,4,60
4013.48,0,0,0,0,64
4063.83,0,0,0,16,48
4063.84,0,0,0,0,64
4102.06,0,0,0,4,60
4102.06,0,0,0,0,64
4128.58,0,0,0,8,56
4128.59,0,0,0,4,60
4128.59,0,0,0,0,64
4151.64,0,0,0,4,60
4177.78,0,0,0,20,44
4177.78,0,0,0,12,52
4177.78,0,0,0,4,60
4240.22,0,0,0,8,56
4252.78,0,0,0,4,60
4265.84,0,0,0,8,56
4266.75,0,0,0,12,52
4266.75,0,0,0,4,60
4339.8,0,0,0,0,64
4348.58,0,0,0,8,56
4348.58,0,0,0,16,48
4348.58,0,0,0,8,56
4348.58,0,0,0,0,64
4390.94,0,0,0,4,60
4428.38,0,0,0,8,56
4437.55,0,0,0,16,48
4437.55,0,0,0,8,56
4466.21,0,0,0,4,60
4485.93,0,0,0,0,64
4521.52,0,0,0,8,56
4521.52,0,0,0,16,48
4521.53,0,0,0,12,52
4554.79,0,0,0,16,48
4574.51,0,0,0,20,44
4574.51,0,0,0,4,60
4608.35,0,0,0,12,52
4610.11,0,0,0,16,48
4614.35,0,0,0,8,56
4679.39,0,0,0,24,40
4679.39,0,0,0,8,56
4755.93,0,0,0,0,64
4787.29,0,0,0,8,56
4793.33,0,0,0,24,40
4793.33,0,0,0,8,56
4802.84,0,0,0,0,64
4898.21,0,0,0,16,48
4898.21,0,0,0,0,64
4926.73,0,0,0,8,56
4926.74,0,0,0,4,60
4926.74,0,0,0,0,64
4973.64,0,0,0,8,56
4973.64,0,0,0,0,64
5012.01,0,0,0,16,48
5012.02,0,0,0,0,64
5015.32,0,0,0,4,60
5015.32,0,0,0,8,56
5015.32,0,0,0,0,64
5116.9,0,0,0,16,48
5116.9,0,0,0,0,64
5146.58,0,0,0,8,56
5146.58,0,0,0,4,60
5146.58,0,0,0,0,64
5186.12,0,0,0,8,56
5186.12,0,0,0,4,60
5202.66,0,0,0,0,64
5221.78,0,0,0,16,48
5221.78,0,0,0,0,64
5260.75,0,0,0,32,32
5283.83,0,0,0,36,28
5284.74,0,0,0,40,24
5324.28,0,0,0,44,20
5335.72,0,0,0,60,4
5339.91,0,0,0,64,0
5339.91,0,0,0,0,64
5418.57,0,0,0,64,0
5418.57,0,0,0,32,32
5418.57,0,0,0,0,64
6864.6,0,0,0,32,32
6864.6,0,0,0,64,0
6864.6,0,0,0,32,32
6864.61,0,0,0,0,64
6999.71,0,0,0,32,32
6999.71,0,0,0,0,64
7134.81,0,0,0,32,32
7134.81,0,0,0,0,64
7269.91,0,0,0,32,32
7269.91,0,0,0,0,64
8310.63,0,0,0,32,32
8310.64,0,0,0,24,40
8310.64,0,0,0,8,56
8310.64,0,0,0,4,60
8310.64,0,0,0,0,64
8399.22,0,0,0,4,60
8399.22,0,0,0,0,64
8415.52,0,0,0,16,48
8415.52,0,0,0,12,52
8415.52,0,0,0,8,56
8415.52,0,0,0,4,60
8415.52,0,0,0,0,64
8447.89,0,0,0,4,60
